shapeName,house_count,REG_NAME
HARGEISA,223110,Woqooyi Galbeed
BAIDOA,194397,Bay
DANYILE,125584,Banadir
AFGOI,123302,Shabelle Hoose
BURAO,114176,Togdheer
BELET WEYNE,85539,Hiraan
BALAD,77720,Shabelle Dhexe
KISMAYO,75497,Juba Hoose
YAQSHID,69672,Banadir
MARKA,66084,Shabelle Hoose
BOSSASO,65357,Bari
KAHDA,64726,Banadir
BURHAKABA,62267,Bay
JOWHAR,60480,Shabelle Dhexe
WANLEWEYNE,53116,Shabelle Hoose
GABILEY,47330,Woqooyi Galbeed
KARAN,47240,Banadir
HELIWA,45594,Banadir
GALKAYU NORTH,44561,Bari
GAROWE,44415,Nugaal
MADINA,44116,Banadir
BORAMA,42962,Awdal
DHARKENLY,42603,Banadir
QORYOLEY,39394,Shabelle Hoose
BARDERA,38289,Gedo
HODAN,35469,Banadir
DINSOOR,35354,Bay
KURTUNWAAREY,35159,Shabelle Hoose
BELET HAWA,34673,Gedo
LAS ANOD,33162,Sool
MAHADAY,32960,Shabelle Dhexe
AWDHEEGLE,32035,Shabelle Dhexe
BULO BURTI,30646,Hiraan
HUDUR,30339,Bakool
BERBERA,28703,Woqooyi Galbeed
BADHAN,28306,Sanaag
AFMADOW,28092,Juba Hoose
QANSAH DHEERE,27486,Bay
BERDALE,25898,Bay
JAMAAME WEST,24426,Juba Hoose
WAJID,24115,Bakool
BUHODLE,24113,Togdheer
GURIEL,24034,Galgaduud
GALKAYU SOUTH,22321,Mudug
ADADO,22319,Galgaduud
BUAALE,22286,Juba Dhexe
DUSAMREB,21990,Galgaduud
ERIGAVO,21543,Sanaag
JALALAQSI,20914,Hiraan
BALIGUBADLE,19885,Woqooyi Galbeed
ODWAYNE,19743,Togdheer
LUUQ,19556,Gedo
GARDO,19214,Bari
SAKOW,18925,Juba Dhexe
JILIB EAST,18693,Juba Dhexe
HOBYO,16893,Mudug
WARDEGLY,16770,Banadir
GARBAHAREY,16268,Gedo
TIYEGLO,15589,Bakool
DOLO,15215,Gedo
JARIBAN,14046,Mudug
EL WAK,13944,Gedo
GALHAREERI,13823,Galgaduud
MATABAN,13691,Hiraan
WABERI,13164,Banadir
SHEIKH,12906,Togdheer
ADALE,12839,Shabelle Dhexe
AYNABO,12316,Sool
BURTINLE,11435,Nugaal
HAWAL WADAG,11424,Banadir
JILIB WEST,10517,Juba Dhexe
HAMAR JABJAB,9266,Banadir
WARSHEIKH,8818,Shabelle Dhexe
BRAVA,8620,Shabelle Hoose
EL AFWEYN,8455,Sanaag
RABDURE,8303,Bakool
HARADHERE,8099,Mudug
QANDALA,8064,Bari
ADEN YABAL,7915,Shabelle Dhexe
EL BUR,7415,Galgaduud
ELGARAS,7372,Galgaduud
WACIYA,7288,Bari
BAKI,7110,Awdal
BONDERE,7067,Banadir
BADHADHE,6514,Juba Hoose
ABDUL AZIZ,6465,Banadir
GALAD,6240,Galgaduud
TALEH,6193,Sool
HUDUN,6055,Sool
EYL,5844,Nugaal
MAHAS,5835,Hiraan
EL DHERE,5519,Galgaduud
ZEILA,5504,Awdal
LUGHAYA,5261,Awdal
SALAGLE,5073,Juba Hoose
RUNINGOD,5073,Shabelle Dhexe
JAMAAME EAST,5034,Juba Hoose
SHIBIS,4782,Banadir
ALULA,4666,Bari
EL BARDE,4630,Bakool
DANGOROYO,4593,Bari
GOLDOGOB,4303,Mudug
SABLALE,4300,Shabelle Hoose
ISKUSHUBAN,4281,Bari
BARGAAL,3652,Bari
BENDER BAYLA,3638,Bari
GALINSOOR,3527,Mudug
UFEYN,3247,Sanaag
BALANBALE,3011,Galgaduud
BURDUBO,2989,Gedo
,2770,
ABUDWAQ,2571,Galgaduud
GEDWEIN,2386,Juba Hoose
HAMAR WEYN,2149,Banadir
HAFUN,2075,Bari
HAGAR,1999,Juba Hoose
SHANGANI,1745,Banadir
RAKO,1726,Bari
RAGA ELLE,1506,Shabelle Dhexe
